scenarioName,scenarioLoop,stepName,stepLoop,correlationId,requestTimeStamp,responseDelayMilliSec,responseTimeStamp,result,method
"test user creation endpoint",0,"test_firstname_validation",,"2a0d4888-2f32-4ffe-83cc-3e33942bab68",2022-10-31T14:16:44.434,10.0,2022-10-31T14:16:44.444,PASSED,POST
"test user creation endpoint",0,test_successful_creation,,"88f07b27-37a8-467a-a8ef-69294cbb4369",2022-10-31T14:16:43.633,788.0,2022-10-31T14:16:44.421,PASSED,POST
"test user creation endpoint",0,test_successful_creation,,"25ab227d-7f11-4dae-87bb-fba00361a380",2022-10-31T14:26:25.486,796.0,2022-10-31T14:26:26.282,PASSED,POST
"test user creation endpoint",0,"test_departmentname_validation",,"36da8aa9-719f-4e05-935c-b4b12c7835ad",2022-10-31T14:26:26.318,7.0,2022-10-31T14:26:26.325,FAILED,POST
"test user creation endpoint",0,"test_firstname_validation",,"079a9713-2694-499d-bded-bffa03a76fa9",2022-10-31T14:26:26.294,9.0,2022-10-31T14:26:26.303,PASSED,POST
"test user creation endpoint",0,test_lastname_validation,,"21e0bcae-803a-45ca-8f0f-96675e05f516",2022-10-31T14:26:26.305,10.0,2022-10-31T14:26:26.315,PASSED,POST
"test user creation endpoint",0,"test_firstname_validation",,"91b4d3f1-d484-4d5a-9192-d48870c3aa67",2022-10-31T14:26:26.754,10.0,2022-10-31T14:26:26.764,PASSED,POST
"test user creation endpoint",0,test_successful_creation,,"d116413e-88f6-4146-a2ff-8b15d9ef9961",2022-10-31T14:26:26.736,14.0,2022-10-31T14:26:26.750,PASSED,POST
"test user creation endpoint",0,test_lastname_validation,,"213bff5b-d07d-45a7-8b5b-2725355c0305",2022-10-31T14:26:26.768,12.0,2022-10-31T14:26:26.780,PASSED,POST
"test user creation endpoint",0,"test_departmentname_validation",,"3de899c1-b30b-4a97-b529-e04f794c9a72",2022-10-31T14:26:26.784,9.0,2022-10-31T14:26:26.793,FAILED,POST
"test user creation endpoint",0,test_successful_creation,,"f91c0a2f-028d-44cf-88f9-ba1dfbcff80a",2022-10-31T14:23:44.874,19.0,2022-10-31T14:23:44.893,PASSED,POST
"test user creation endpoint",0,test_lastname_validation,,"c9302464-5e37-4b49-a03c-6ae6f7dceb91",2022-10-31T14:23:44.916,13.0,2022-10-31T14:23:44.929,PASSED,POST
"test user creation endpoint",0,"test_firstname_validation",,"c7375e61-cde5-4904-ba82-dfe9d4827333",2022-10-31T14:23:44.897,15.0,2022-10-31T14:23:44.912,PASSED,POST
"test user creation endpoint",0,"test_departmentname_validation",,"4b9755fa-c361-40bc-a067-50d13bb2435f",2022-10-31T14:23:44.933,10.0,2022-10-31T14:23:44.943,FAILED,POST
"test user creation endpoint",0,test_successful_creation,,"52183035-d50c-4d45-a3a5-5aac78d0bd6d",2022-10-31T14:13:46.263,12.0,2022-10-31T14:13:46.275,FAILED,POST
"test user creation endpoint",0,"test_firstname_validation",,"77106265-dcd2-44d9-ac10-283db4c9a7e2",2022-10-31T14:18:54.613,9.0,2022-10-31T14:18:54.622,PASSED,POST
"test user creation endpoint",0,test_successful_creation,,"4741925f-bf00-4fc4-ba33-c4709efa43dc",2022-10-31T14:18:53.888,713.0,2022-10-31T14:18:54.601,PASSED,POST
"test user creation endpoint",0,"test_firstname_validation",,"84f4ff97-baee-41ca-8891-b78cbd2c54e3",2022-10-31T14:18:54.918,17.0,2022-10-31T14:18:54.935,PASSED,POST
"test user creation endpoint",0,test_successful_creation,,"2d486c2b-7ddf-4f6b-92fa-5fb9e47f3d31",2022-10-31T14:18:54.877,36.0,2022-10-31T14:18:54.913,PASSED,POST
"test user creation endpoint",0,test_successful_creation,,"dd437f85-28e7-48d0-b990-f4daf18bee97",2022-10-31T14:16:44.659,15.0,2022-10-31T14:16:44.674,PASSED,POST
"test user creation endpoint",0,"test_firstname_validation",,"a6b3df5f-dfd7-4ae6-94ef-eb4c791e2157",2022-10-31T14:16:44.679,18.0,2022-10-31T14:16:44.697,PASSED,POST
"test user creation endpoint",0,test_successful_creation,,"1295d706-9848-49e2-84d3-b4bd6d24f1b0",2022-10-31T17:39:51.089,1189.0,2022-10-31T17:39:52.278,PASSED,POST
"test user creation endpoint",0,test_lastname_validation,,"a478ebdf-a02b-47bb-98a7-07b3718ee378",2022-10-31T17:39:52.316,10.0,2022-10-31T17:39:52.326,PASSED,POST
"test user creation endpoint",0,"test_firstname_validation",,"88cf59fd-5fbd-432a-b20b-3ff3d1001408",2022-10-31T17:39:52.296,16.0,2022-10-31T17:39:52.312,PASSED,POST
"test user creation endpoint",0,"test_departmentname_validation",,"c9f38a86-eff2-44e4-a8d0-ceae63b41b48",2022-10-31T17:39:52.329,10.0,2022-10-31T17:39:52.339,PASSED,POST
"test user creation endpoint",0,test_successful_creation,,"5572b92b-f211-48e2-aa7f-bf6ff0c60036",2022-10-31T14:23:43.806,772.0,2022-10-31T14:23:44.578,PASSED,POST
"test user creation endpoint",0,test_lastname_validation,,"8c6862d7-5e66-46af-83e0-f6f36b5cb942",2022-10-31T14:23:44.600,9.0,2022-10-31T14:23:44.609,PASSED,POST
"test user creation endpoint",0,"test_departmentname_validation",,"cb1698c1-fb01-40df-9d85-ca02dd42be53",2022-10-31T14:23:44.611,8.0,2022-10-31T14:23:44.619,FAILED,POST
"test user creation endpoint",0,"test_firstname_validation",,"edeacfd1-6d42-4528-aaf6-8f0fdc63d0f5",2022-10-31T14:23:44.590,8.0,2022-10-31T14:23:44.598,PASSED,POST
"test user creation endpoint",0,"test_firstname_validation",,"5f350c5f-ca1d-41a2-9265-018a93377f4b",2022-10-31T14:27:32.076,12.0,2022-10-31T14:27:32.088,PASSED,POST
"test user creation endpoint",0,test_lastname_validation,,"e6d6ea43-cc11-461e-9a0e-fa23e678ab18",2022-10-31T14:27:32.095,12.0,2022-10-31T14:27:32.107,PASSED,POST
"test user creation endpoint",0,"test_departmentname_validation",,"cb98c8ff-3203-4b51-be98-c20bce40a2f0",2022-10-31T14:27:32.111,9.0,2022-10-31T14:27:32.120,PASSED,POST
"test user creation endpoint",0,test_successful_creation,,"57a2d050-9c7f-4e17-b535-e8f4aa38c155",2022-10-31T14:27:32.057,16.0,2022-10-31T14:27:32.073,PASSED,POST
"test user creation endpoint",0,test_successful_creation,,"3968cdcb-b704-4d13-9e5e-566dab30e89a",2022-10-31T14:29:42.553,800.0,2022-10-31T14:29:43.353,PASSED,POST
"test user creation endpoint",0,"test_departmentname_validation",,"d0746c41-36b9-4beb-aef1-28861345fbe6",2022-10-31T14:29:43.418,27.0,2022-10-31T14:29:43.445,PASSED,POST
"test user creation endpoint",0,"test_firstname_validation",,"0dfc2fdb-5049-4dce-b1e7-72dbc28f7d21",2022-10-31T14:29:43.371,16.0,2022-10-31T14:29:43.387,PASSED,POST
"test user creation endpoint",0,test_lastname_validation,,"f97072ec-d3dd-4103-808a-45d3c3adcb79",2022-10-31T14:29:43.391,23.0,2022-10-31T14:29:43.414,PASSED,POST
"test user creation endpoint",0,test_successful_creation,,"d796df0a-7cd7-47d4-b458-77043d27b5bf",2022-10-31T14:13:44.427,1466.0,2022-10-31T14:13:45.893,FAILED,POST
"test user creation endpoint",0,"test_firstname_validation",,"6c701e32-4350-45a2-be67-9e52411efebe",2022-10-31T14:27:31.763,9.0,2022-10-31T14:27:31.772,PASSED,POST
"test user creation endpoint",0,test_lastname_validation,,"97fa486c-3b9e-4f12-9a3a-5ed2b506d84e",2022-10-31T14:27:31.775,10.0,2022-10-31T14:27:31.785,PASSED,POST
"test user creation endpoint",0,test_successful_creation,,"0ba876d9-c0e0-4070-8ba0-ed2865cd91f2",2022-10-31T14:27:31.047,705.0,2022-10-31T14:27:31.752,PASSED,POST
"test user creation endpoint",0,"test_departmentname_validation",,"f7986fbe-acc0-4f2d-9a3e-df5dffeaad48",2022-10-31T14:27:31.788,10.0,2022-10-31T14:27:31.798,PASSED,POST
